Edad,Varones,Mujeres,Varones,Mujeres,Varones,Mujeres,Varones,Mujeres,Varones,Mujeres,Varones,Mujeres,Varones,Mujeres,Varones,Mujeres,Varones,Mujeres,Varones,Mujeres,Varones,Mujeres,Varones,Mujeres,Varones,Mujeres,Varones,Mujeres
87,6712,9156,631,919,644,814,593,801,550,738,540,703,488,693,541,653,539,767,470,669,529,772,529,742,659,885,6712,9156
88,6279,9274,575,946,563,822,560,875,498,764,513,720,496,652,482,666,478,754,437,650,505,766,554,800,618,858,6279,9274
89,5594,9009,583,907,519,772,482,748,421,734,444,702,419,691,416,716,441,698,419,647,471,748,436,782,543,862,5594,9009
90,4811,8199,470,851,453,762,410,712,354,603,354,624,358,634,376,612,385,668,337,552,389,636,422,729,507,817,4811,8199
91,3838,7580,351,733,317,622,306,656,277,610,260,597,266,573,295,616,360,622,290,536,317,604,369,672,431,738,3838,7580
92,2866,6262,284,634,225,568,270,590,222,508,226,486,212,490,199,428,200,504,200,428,261,520,239,520,325,584,2866,6262
93,2534,6033,233,620,247,514,238,518,201,463,191,482,187,491,181,459,193,492,193,404,191,460,223,494,254,636,2534,6033
94,1969,4984,190,510,191,412,169,435,143,431,144,423,170,356,152,384,129,361,155,373,158,376,166,408,201,516,1969,4984
95,1596,4314,156,409,134,377,150,365,126,337,129,354,117,300,134,368,109,356,115,288,130,354,135,395,161,413,1596,4314
96,1265,3691,108,356,108,327,119,319,100,300,97,269,97,278,84,280,101,319,85,238,114,315,125,325,124,364,1265,3691
97,918,2856,105,260,80,273,81,257,77,223,75,216,66,201,48,231,54,225,67,219,79,227,90,228,96,295,918,2856
98,687,2229,83,229,63,212,55,192,57,169,57,195,47,168,56,172,59,170,38,160,43,168,52,184,77,207,687,2229
99,497,1644,62,178,34,144,47,140,42,126,49,123,30,121,35,129,31,124,29,108,45,130,40,138,53,183,497,1644
100,315,1131,36,121,25,92,23,89,34,85,24,86,24,88,25,91,30,91,20,78,18,89,23,98,32,121,315,1131
101,198,746,21,55,19,60,18,68,16,49,10,65,14,55,12,72,14,71,18,60,17,59,15,55,23,77,198,746
102,114,468,12,45,8,41,9,53,9,27,11,37,9,25,8,39,4,32,8,32,11,43,11,46,14,47,114,468
103,79,286,7,38,7,25,8,15,6,25,4,21,7,21,8,20,6,29,4,21,7,26,6,21,8,22,79,286
104,33,182,4,15,1,15,5,15,4,15,3,11,1,15,1,12,2,18,5,18,4,8,2,16,1,23,33,182
105,17,102,0,14,0,10,1,12,2,8,0,4,0,4,1,10,0,8,2,6,3,14,4,4,4,7,17,102
106,10,47,0,6,0,4,1,3,0,2,0,3,3,0,1,4,1,4,1,4,0,4,2,5,1,7,10,47
107,4,28,0,2,0,1,0,3,1,4,0,2,0,3,1,2,2,3,0,1,0,2,0,2,0,3,4,28
108,1,19,0,2,0,1,0,1,0,1,1,3,0,0,0,1,0,1,0,0,0,2,0,2,0,5,1,19
109,4,8,1,0,0,0,1,1,0,1,0,1,0,0,0,1,0,1,1,0,1,1,0,1,0,1,4,8
110,3,4,0,1,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,3,4
